Examinee_ID	Examinee_CAMOS	Examinee_DemogFlags	Examiner_ID	TestStemForm	Item_CMSID_Examiner	Item_CMSID_Examinee	Item_Heading	Master_ID	RT	ItemTimeStamp	ItemEndTimeStamp	Delivered_Order	Response	Score	UPRFlag	QFlag	Assignment_ID	Session_ID	Active
0N06007	81	FWN6	Examiner05	OVANT.W5N	422406901	422409038		OVANT_IN1	2.225	2022-07-14 05:48:23.170	2022-07-14 05:48:25.393	0		0	0	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422425137	422136545	Sample Item A, Trial 1	OVANT_SA1	44.958	2022-07-14 05:48:25.403	2022-07-14 05:49:10.360	1	no	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422425477	422140584	Sample Item B, Trial 1	OVANT_SB1	3.882	2022-07-14 05:49:10.377	2022-07-14 05:49:14.257	2	DK	0	-1	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422418156	422422895	Sample Item B, Trial 2	OVANT_SB2	1.822	2022-07-14 05:49:14.270	2022-07-14 05:49:16.093	3	down	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422430915	422142141	Item 1	OVANT_003	34.309	2022-07-14 05:49:16.103	2022-07-14 05:49:50.410	4	inside	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422431575	422150004	Item 2	OVANT_248	4.050	2022-07-14 05:49:50.427	2022-07-14 05:49:54.477	5	burning	0	2	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422433191	422150924	Item 3	OVANT_261	2.273	2022-07-14 05:49:54.490	2022-07-14 05:49:56.763	6	sis	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422433363	422153189	Item 4	OVANT_251	2.757	2022-07-14 05:49:56.770	2022-07-14 05:49:59.527	7	evil	1	3	0	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422433531	422157507	Item 5	OVANT_006	2.054	2022-07-14 05:49:59.537	2022-07-14 05:50:01.593	8	medium	0	2	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422433645	422160147	Item 6	OVANT_008	1.908	2022-07-14 05:50:01.603	2022-07-14 05:50:03.513	9	Other 0	0	1	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422435899	422160556	Item 7	OVANT_033	2.568	2022-07-14 05:50:03.523	2022-07-14 05:50:06.090	10	pushy	0	2	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422440657	422164513	Item 8	OVANT_031	1.913	2022-07-14 05:50:06.103	2022-07-14 05:50:08.017	11	sat	0	2	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422443686	422170691	Item 9	OVANT_010	5.733	2022-07-14 05:50:08.027	2022-07-14 05:50:13.760	12	deduct	1	3	0	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422446716	422170852	Item 10	OVANT_050	2.419	2022-07-14 05:50:13.773	2022-07-14 05:50:16.190	13	aggravate	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422448662	422176396	Item 11	OVANT_054	38.998	2022-07-14 05:50:16.203	2022-07-14 05:50:55.203	14	answer	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422448900	422179539	Item 12	OVANT_064	22.095	2022-07-14 05:50:55.213	2022-07-14 05:51:17.307	15	acquaintance	0	2	0	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422461412	422186289	Item 13	OVANT_061	2.752	2022-07-14 05:51:17.323	2022-07-14 05:51:20.073	16	dumb	1	3	0	617-11038	18Tz9b_22.07.14	1
